#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   148   0.421930E+04  -0.441390E+02   0.229070E-03  -0.441390E+02   0.103414E+01  -0.768640E-06   0.229070E-03  -0.768640E-06   0.684253E-07
   149   0.425140E+04  -0.442014E+02   0.226906E-03  -0.442014E+02   0.103001E+01  -0.760381E-06   0.226906E-03  -0.760381E-06   0.680046E-07
   150   0.428321E+04  -0.442391E+02   0.224765E-03  -0.442391E+02   0.102553E+01  -0.752718E-06   0.224765E-03  -0.752718E-06   0.675876E-07
   151   0.431487E+04  -0.442550E+02   0.222646E-03  -0.442550E+02   0.102063E+01  -0.745796E-06   0.222646E-03  -0.745796E-06   0.671742E-07
   152   0.434623E+04  -0.442476E+02   0.220547E-03  -0.442476E+02   0.101523E+01  -0.739593E-06   0.220547E-03  -0.739593E-06   0.667644E-07
   153   0.437745E+04  -0.442147E+02   0.218469E-03  -0.442147E+02   0.100948E+01  -0.734049E-06   0.218469E-03  -0.734049E-06   0.663581E-07
   154   0.440846E+04  -0.441585E+02   0.216413E-03  -0.441585E+02   0.100338E+01  -0.729100E-06   0.216413E-03  -0.729100E-06   0.659553E-07
   155   0.443924E+04  -0.440783E+02   0.214377E-03  -0.440783E+02   0.996934E+00  -0.724686E-06   0.214377E-03  -0.724686E-06   0.655561E-07
   156   0.446965E+04  -0.439741E+02   0.212363E-03  -0.439741E+02   0.990133E+00  -0.720744E-06   0.212363E-03  -0.720744E-06   0.651603E-07
   157   0.449999E+04  -0.438443E+02   0.210370E-03  -0.438443E+02   0.982981E+00  -0.717213E-06   0.210370E-03  -0.717213E-06   0.647680E-07
   158   0.453003E+04  -0.436898E+02   0.208399E-03  -0.436898E+02   0.975552E+00  -0.714031E-06   0.208399E-03  -0.714031E-06   0.643791E-07
   159   0.455977E+04  -0.435104E+02   0.206449E-03  -0.435104E+02   0.967697E+00  -0.711137E-06   0.206449E-03  -0.711137E-06   0.639936E-07
   160   0.458929E+04  -0.433048E+02   0.204520E-03  -0.433048E+02   0.959565E+00  -0.708469E-06   0.204520E-03  -0.708469E-06   0.636115E-07
   161   0.461858E+04  -0.430744E+02   0.202613E-03  -0.430744E+02   0.951228E+00  -0.705964E-06   0.202613E-03  -0.705964E-06   0.632327E-07
   162   0.464757E+04  -0.428191E+02   0.200728E-03  -0.428191E+02   0.942538E+00  -0.703562E-06   0.200728E-03  -0.703562E-06   0.628573E-07
   163   0.467641E+04  -0.425376E+02   0.198864E-03  -0.425376E+02   0.933570E+00  -0.701200E-06   0.198864E-03  -0.701200E-06   0.624851E-07
   164   0.470480E+04  -0.422312E+02   0.197022E-03  -0.422312E+02   0.924397E+00  -0.698817E-06   0.197022E-03  -0.698817E-06   0.621162E-07
   165   0.473304E+04  -0.418978E+02   0.195202E-03  -0.418978E+02   0.914944E+00  -0.696351E-06   0.195202E-03  -0.696351E-06   0.617506E-07
   166   0.476097E+04  -0.415388E+02   0.193404E-03  -0.415388E+02   0.905361E+00  -0.693740E-06   0.193404E-03  -0.693740E-06   0.613882E-07
   167   0.478867E+04  -0.411549E+02   0.191628E-03  -0.411549E+02   0.895423E+00  -0.690923E-06   0.191628E-03  -0.690923E-06   0.610290E-07
   168   0.481592E+04  -0.407440E+02   0.189874E-03  -0.407440E+02   0.885501E+00  -0.687838E-06   0.189874E-03  -0.687838E-06   0.606729E-07
   169   0.484287E+04  -0.403060E+02   0.188142E-03  -0.403060E+02   0.875299E+00  -0.684422E-06   0.188142E-03  -0.684422E-06   0.603200E-07
   170   0.486951E+04  -0.398424E+02   0.186432E-03  -0.398424E+02   0.865039E+00  -0.680615E-06   0.186432E-03  -0.680615E-06   0.599702E-07
   171   0.489569E+04  -0.393510E+02   0.184744E-03  -0.393510E+02   0.854721E+00  -0.676355E-06   0.184744E-03  -0.676355E-06   0.596235E-07
   172   0.492149E+04  -0.388332E+02   0.183078E-03  -0.388332E+02   0.844269E+00  -0.671580E-06   0.183078E-03  -0.671580E-06   0.592799E-07
   173   0.494683E+04  -0.382891E+02   0.181435E-03  -0.382891E+02   0.833684E+00  -0.666228E-06   0.181435E-03  -0.666228E-06   0.589393E-07
   174   0.497187E+04  -0.377186E+02   0.179815E-03  -0.377186E+02   0.823262E+00  -0.660237E-06   0.179815E-03  -0.660237E-06   0.586017E-07
   175   0.499652E+04  -0.371210E+02   0.178216E-03  -0.371210E+02   0.812707E+00  -0.653546E-06   0.178216E-03  -0.653546E-06   0.582672E-07
   176   0.502064E+04  -0.364963E+02   0.176641E-03  -0.364963E+02   0.802239E+00  -0.646109E-06   0.176641E-03  -0.646109E-06   0.579355E-07
   177   0.504437E+04  -0.358459E+02   0.175087E-03  -0.358459E+02   0.791785E+00  -0.637944E-06   0.175087E-03  -0.637944E-06   0.576069E-07
