#    L    TT             EE             BB             TE          
   250   0.530943E+04   0.235060E+01   0.186360E-01   0.627594E+02
   251   0.529174E+04   0.243126E+01   0.187818E-01   0.643246E+02
   252   0.527339E+04   0.251415E+01   0.189275E-01   0.658793E+02
   253   0.525474E+04   0.259906E+01   0.190730E-01   0.674221E+02
   254   0.523550E+04   0.268628E+01   0.192184E-01   0.689529E+02
   255   0.521575E+04   0.277551E+01   0.193635E-01   0.704718E+02
   256   0.519556E+04   0.286713E+01   0.195085E-01   0.719789E+02
   257   0.517492E+04   0.296070E+01   0.196533E-01   0.734659E+02
   258   0.515377E+04   0.305657E+01   0.197978E-01   0.749455E+02
   259   0.513218E+04   0.315461E+01   0.199420E-01   0.764029E+02
   260   0.511022E+04   0.325481E+01   0.200860E-01   0.778529E+02
   261   0.508775E+04   0.335710E+01   0.202297E-01   0.792733E+02
   262   0.506476E+04   0.346171E+01   0.203731E-01   0.806864E+02
   263   0.504162E+04   0.356840E+01   0.205162E-01   0.820847E+02
   264   0.501790E+04   0.367726E+01   0.206589E-01   0.834609E+02
   265   0.499366E+04   0.378821E+01   0.208013E-01   0.848076E+02
   266   0.496913E+04   0.390148E+01   0.209433E-01   0.861470E+02
   267   0.494409E+04   0.401668E+01   0.210850E-01   0.874568E+02
   268   0.491867E+04   0.413420E+01   0.212262E-01   0.887521E+02
   269   0.489275E+04   0.425374E+01   0.213671E-01   0.900252E+02
   270   0.486660E+04   0.437537E+01   0.215075E-01   0.912764E+02
   271   0.484002E+04   0.449901E+01   0.216475E-01   0.925055E+02
   272   0.481322E+04   0.462497E+01   0.217870E-01   0.937052E+02
   273   0.478597E+04   0.475265E+01   0.219261E-01   0.948904E+02
   274   0.475844E+04   0.488264E+01   0.220648E-01   0.960387E+02
   275   0.473054E+04   0.501443E+01   0.222029E-01   0.971726E+02
   276   0.470242E+04   0.514824E+01   0.223406E-01   0.982696E+02
   277   0.467386E+04   0.528407E+01   0.224778E-01   0.993522E+02
   278   0.464508E+04   0.542184E+01   0.226145E-01   0.100398E+03
   279   0.461601E+04   0.556148E+01   0.227506E-01   0.101415E+03
   280   0.458665E+04   0.570299E+01   0.228863E-01   0.102417E+03
   281   0.455715E+04   0.584645E+01   0.230214E-01   0.103382E+03
