#    L    TT             EE             TE             PP             TP          
   220   0.558491E+04   0.832029E+00   0.143046E+02   0.214736E+07   0.208370E+04
   221   0.558480E+04   0.855456E+00   0.158656E+02   0.213694E+07   0.206642E+04
   222   0.558410E+04   0.880493E+00   0.174369E+02   0.212659E+07   0.204927E+04
   223   0.558266E+04   0.907065E+00   0.190190E+02   0.211633E+07   0.203226E+04
   224   0.558077E+04   0.935170E+00   0.206083E+02   0.210615E+07   0.201537E+04
   225   0.557823E+04   0.964957E+00   0.222079E+02   0.209605E+07   0.199862E+04
   226   0.557509E+04   0.996424E+00   0.238139E+02   0.208603E+07   0.198200E+04
   227   0.557129E+04   0.102957E+01   0.254279E+02   0.207609E+07   0.196551E+04
   228   0.556697E+04   0.106440E+01   0.270484E+02   0.206623E+07   0.194915E+04
   229   0.556206E+04   0.110097E+01   0.286739E+02   0.205644E+07   0.193291E+04
   230   0.555648E+04   0.113930E+01   0.303053E+02   0.204673E+07   0.191680E+04
   231   0.555024E+04   0.117945E+01   0.319416E+02   0.203709E+07   0.190082E+04
   232   0.554348E+04   0.122136E+01   0.335816E+02   0.202753E+07   0.188497E+04
   233   0.553613E+04   0.126523E+01   0.352237E+02   0.201805E+07   0.186924E+04
   234   0.552804E+04   0.131093E+01   0.368686E+02   0.200863E+07   0.185363E+04
   235   0.551944E+04   0.135852E+01   0.385149E+02   0.199929E+07   0.183815E+04
   236   0.551016E+04   0.140800E+01   0.401626E+02   0.199002E+07   0.182278E+04
   237   0.550030E+04   0.145945E+01   0.418102E+02   0.198082E+07   0.180754E+04
   238   0.548984E+04   0.151295E+01   0.434578E+02   0.197169E+07   0.179242E+04
   239   0.547886E+04   0.156833E+01   0.451045E+02   0.196262E+07   0.177742E+04
   240   0.546714E+04   0.162568E+01   0.467483E+02   0.195363E+07   0.176254E+04
   241   0.545498E+04   0.168514E+01   0.483897E+02   0.194470E+07   0.174777E+04
   242   0.544223E+04   0.174657E+01   0.500282E+02   0.193584E+07   0.173312E+04
   243   0.542888E+04   0.181010E+01   0.516621E+02   0.192704E+07   0.171859E+04
   244   0.541494E+04   0.187568E+01   0.532924E+02   0.191831E+07   0.170417E+04
   245   0.540040E+04   0.194336E+01   0.549160E+02   0.190964E+07   0.168987E+04
   246   0.538535E+04   0.201315E+01   0.565344E+02   0.190103E+07   0.167568E+04
   247   0.536978E+04   0.208497E+01   0.581453E+02   0.189249E+07   0.166160E+04
   248   0.535361E+04   0.215919E+01   0.597489E+02   0.188401E+07   0.164763E+04
   249   0.533700E+04   0.223530E+01   0.613444E+02   0.187558E+07   0.163378E+04
   250   0.531979E+04   0.231374E+01   0.629303E+02   0.186722E+07   0.162003E+04
   251   0.530213E+04   0.239420E+01   0.645073E+02   0.185892E+07   0.160640E+04
   252   0.528381E+04   0.247692E+01   0.660740E+02   0.185067E+07   0.159287E+04
   253   0.526519E+04   0.256167E+01   0.676289E+02   0.184248E+07   0.157945E+04
   254   0.524598E+04   0.264874E+01   0.691720E+02   0.183435E+07   0.156613E+04
   255   0.522625E+04   0.273785E+01   0.707033E+02   0.182627E+07   0.155293E+04
   256   0.520607E+04   0.282936E+01   0.722229E+02   0.181825E+07   0.153982E+04
   257   0.518544E+04   0.292283E+01   0.737226E+02   0.181029E+07   0.152682E+04
   258   0.516430E+04   0.301864E+01   0.752150E+02   0.180238E+07   0.151392E+04
   259   0.514271E+04   0.311662E+01   0.766852E+02   0.179453E+07   0.150112E+04
   260   0.512075E+04   0.321679E+01   0.781482E+02   0.178673E+07   0.148843E+04
   261   0.509827E+04   0.331906E+01   0.795817E+02   0.177899E+07   0.147583E+04
   262   0.507527E+04   0.342367E+01   0.810080E+02   0.177130E+07   0.146333E+04
   263   0.505212E+04   0.353040E+01   0.824196E+02   0.176366E+07   0.145093E+04
   264   0.502837E+04   0.363930E+01   0.838091E+02   0.175608E+07   0.143862E+04
   265   0.500411E+04   0.375032E+01   0.851692E+02   0.174854E+07   0.142642E+04
   266   0.497955E+04   0.386368E+01   0.865221E+02   0.174106E+07   0.141430E+04
   267   0.495447E+04   0.397900E+01   0.878455E+02   0.173363E+07   0.140228E+04
   268   0.492902E+04   0.409665E+01   0.891543E+02   0.172625E+07   0.139036E+04
   269   0.490305E+04   0.421635E+01   0.904412E+02   0.171892E+07   0.137852E+04
   270   0.487686E+04   0.433816E+01   0.917060E+02   0.171164E+07   0.136678E+04
   271   0.485023E+04   0.446201E+01   0.929489E+02   0.170441E+07   0.135512E+04
   272   0.482337E+04   0.458820E+01   0.941624E+02   0.169723E+07   0.134356E+04
   273   0.479606E+04   0.471614E+01   0.953613E+02   0.169010E+07   0.133208E+04
   274   0.476846E+04   0.484642E+01   0.965235E+02   0.168301E+07   0.132069E+04
   275   0.474049E+04   0.497852E+01   0.976711E+02   0.167598E+07   0.130939E+04
   276   0.471230E+04   0.511266E+01   0.987820E+02   0.166898E+07   0.129817E+04
   277   0.468366E+04   0.524885E+01   0.998784E+02   0.166204E+07   0.128704E+04
   278   0.465480E+04   0.538701E+01   0.100938E+03   0.165514E+07   0.127599E+04
   279   0.462564E+04   0.552707E+01   0.101968E+03   0.164829E+07   0.126502E+04
   280   0.459619E+04   0.566903E+01   0.102984E+03   0.164148E+07   0.125414E+04
   281   0.456658E+04   0.581296E+01   0.103963E+03   0.163472E+07   0.124333E+04
   282   0.453654E+04   0.595857E+01   0.104913E+03   0.162800E+07   0.123261E+04
   283   0.450635E+04   0.610607E+01   0.105834E+03   0.162133E+07   0.122196E+04
   284   0.447593E+04   0.625541E+01   0.106725E+03   0.161470E+07   0.121139E+04
   285   0.444529E+04   0.640657E+01   0.107587E+03   0.160811E+07   0.120090E+04
   286   0.441436E+04   0.655941E+01   0.108413E+03   0.160156E+07   0.119049E+04
   287   0.438320E+04   0.671393E+01   0.109217E+03   0.159506E+07   0.118014E+04
   288   0.435190E+04   0.687013E+01   0.109984E+03   0.158859E+07   0.116988E+04
   289   0.432038E+04   0.702793E+01   0.110722E+03   0.158217E+07   0.115968E+04
   290   0.428871E+04   0.718720E+01   0.111430E+03   0.157579E+07   0.114956E+04
   291   0.425689E+04   0.734867E+01   0.112095E+03   0.156945E+07   0.113951E+04
   292   0.422462E+04   0.751123E+01   0.112738E+03   0.156315E+07   0.112953E+04
   293   0.419251E+04   0.767450E+01   0.113337E+03   0.155689E+07   0.111962E+04
   294   0.416010E+04   0.783998E+01   0.113914E+03   0.155066E+07   0.110977E+04
   295   0.412777E+04   0.800618E+01   0.114447E+03   0.154448E+07   0.110000E+04
   296   0.409514E+04   0.817458E+01   0.114952E+03   0.153833E+07   0.109029E+04
   297   0.406243E+04   0.834296E+01   0.115427E+03   0.153222E+07   0.108065E+04
   298   0.402951E+04   0.851355E+01   0.115858E+03   0.152614E+07   0.107107E+04
   299   0.399659E+04   0.868560E+01   0.116252E+03   0.152011E+07   0.106155E+04
   300   0.396352E+04   0.885763E+01   0.116611E+03   0.151410E+07   0.105210E+04
   301   0.393037E+04   0.903112E+01   0.116940E+03   0.150814E+07   0.104270E+04
   302   0.389723E+04   0.920534E+01   0.117240E+03   0.150221E+07   0.103337E+04
   303   0.386402E+04   0.938103E+01   0.117496E+03   0.149631E+07   0.102411E+04
   304   0.383073E+04   0.955819E+01   0.117708E+03   0.149045E+07   0.101490E+04
   305   0.379744E+04   0.973534E+01   0.117891E+03   0.148462E+07   0.100575E+04
   306   0.376408E+04   0.991321E+01   0.118038E+03   0.147883E+07   0.996671E+03
   307   0.373072E+04   0.100918E+02   0.118140E+03   0.147307E+07   0.987651E+03
   308   0.369736E+04   0.102726E+02   0.118221E+03   0.146734E+07   0.978692E+03
   309   0.366408E+04   0.104527E+02   0.118251E+03   0.146165E+07   0.969795E+03
   310   0.363072E+04   0.106328E+02   0.118251E+03   0.145599E+07   0.960961E+03
   311   0.359743E+04   0.108151E+02   0.118207E+03   0.145037E+07   0.952189E+03
   312   0.356422E+04   0.109966E+02   0.118134E+03   0.144477E+07   0.943479E+03
   313   0.353101E+04   0.111789E+02   0.118017E+03   0.143921E+07   0.934831E+03
   314   0.349787E+04   0.113619E+02   0.117871E+03   0.143368E+07   0.926246E+03
   315   0.346480E+04   0.115442E+02   0.117681E+03   0.142818E+07   0.917723E+03
   316   0.343181E+04   0.117273E+02   0.117454E+03   0.142272E+07   0.909263E+03
   317   0.339889E+04   0.119096E+02   0.117191E+03   0.141728E+07   0.900865E+03
   318   0.336604E+04   0.120933E+02   0.116891E+03   0.141188E+07   0.892530E+03
   319   0.333334E+04   0.122764E+02   0.116554E+03   0.140651E+07   0.884258E+03
   320   0.330078E+04   0.124594E+02   0.116188E+03   0.140117E+07   0.876049E+03
